instruction,input,output,task,dataset
"Given the following text message, answer spam or not spam for whether the message contains phishing or fraudulent contents.","Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?
",not spam,spam_detection,SMS Spam
"Given the following text message, answer spam or not spam for whether the message contains phishing or fraudulent contents.","Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
",spam,spam_detection,SMS Spam
"Given the following text message, answer spam or not spam for whether the message contains phishing or fraudulent contents.","Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
",spam,spam_detection,SMS Spam
Please give me a general and brief summary of the following text.,more workers have joined a strike at the philippines ' largest telephone company even though a serious feud among union leaders emerged tuesday .,more workers join telephone strike despite feud among union leaders,summarization,Gigaword
Please give me a general and brief summary of the following text.,a ##-year old farmer from northwest china 's shaanxi province has won a lawsuit against a beijing-based magazine for the illegal use of his portrait .,##-year old wins portrait lawsuit,summarization,Gigaword
Please give me a general and brief summary of the following text.,"the african development bank -lrb- adb -rrb- has pledged to support the mining sector in nigeria , a senior leader of the bank said here at the weekend .",adb pledges support for nigeria 's mining sector,summarization,Gigaword
Please give me a general and brief summary of the following text.,"kuwait 's ailing crown prince sheikh saad al-abdullah al-sabah left hospital on wednesday , less than a week after he was admitted suffering from a high level of blood glucose , his office said .",kuwaiti crown prince leaves hospital,summarization,Gigaword
"You are an English grammatical error correction tool that can identify and correct grammatical errors in a text. Now, please identify and correct any grammatical errors in the following text while keeping the original text structure unchanged as much as possible.",I am pleased to know intelligent peple and learn about things which I do n't know .,I am pleased to know intelligent people and learn about things which I do n't know .,grammar_correction,Jfleg
"You are an English grammatical error correction tool that can identify and correct grammatical errors in a text. Now, please identify and correct any grammatical errors in the following text while keeping the original text structure unchanged as much as possible.",it contributes to the air pollution and the temperature arising .,It contributes to air pollution and the temperature rising .,grammar_correction,Jfleg
"You are an English grammatical error correction tool that can identify and correct grammatical errors in a text. Now, please identify and correct any grammatical errors in the following text while keeping the original text structure unchanged as much as possible.","In contrast , the speaker casts doubt on the conclusion .","In contrast , the speaker casts a doubt on the conclusion .",grammar_correction,Jfleg
